stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
471831418,Метро «Бульвар Рокоссовского»,55.8142355,37.7342126,0,
471836117,Метро «Бульвар Рокоссовского»,55.8152431,37.7327079,0,
472373351,Абельмановская Застава,55.7405129,37.6744087,0,
473120402,Ботанический переулок,55.7798197,37.6399804,0,
496984206,Улица Плеханова,55.7594045,37.7565787,0,
534957384,Улица Тихомирова,55.8847048,37.6418096,0,
535516942,Социальный фонд России,55.8505492,37.670591,0,
535516949,Верхоянская улица,55.857058,37.6614864,0,
535844761,Метро «ВДНХ»,55.8240069,37.6387399,0,
535844816,Печорская улица,55.8645961,37.6616972,0,
638952859,Культурно-досуговый центр,55.810064,37.4041278,0,
678963754,Футбольная школа «Чертаново»,55.6311917,37.6008971,0,
678963755,Сумской проезд,55.6338519,37.6031046,0,
705055793,Новогиреево,55.7451905,37.8162498,0,
711057604,Медицинский центр имени Бурназяна,55.8068443,37.4581526,0,
736365402,Угрешский переезд,55.7144678,37.6922349,0,
736521253,МЦК Угрешская,55.7157783,37.6948009,0,
736521256,Городской сборный пункт,55.7132296,37.6877608,0,
777383404,Туристская улица,55.8581427,37.4205777,0,
777383410,Планерная улица,55.857673,37.4321885,0,
798645928,Улица Академика Курчатова,55.8104056,37.4762634,0,
825976719,Бассейн,55.7893539,37.4541559,0,
826381884,Сокольническая Застава,55.792629,37.6807219,0,
899715472,МЦК «Стрешнево»,55.8114464,37.4906588,0,
899715500,Восточный мост,55.8362343,37.4530478,0,
937066580,Шоссе Энтузиастов,55.7633099,37.7850469,0,
943034204,Улица Циолковского,55.82873,37.4527577,0,
943034222,МЦК «Стрешнево»,55.8116907,37.4909635,0,
943078842,Метро «Дмитровская»,55.8088505,37.5764019,0,
943078845,Институт биотехнологий,55.8272406,37.5553745,0,
943078864,Улица Костякова,55.815273,37.5698653,0,
943094276,Соболевский проезд,55.8382275,37.5285296,0,
943820342,Детская поликлиника,55.8056539,37.4535993,0,
944176912,Метро «Щукинская»,55.8100039,37.461373,0,
944656877,Школа имени Алексея Маресьева,55.811279,37.39792,0,
944700689,Коптевская улица,55.8302919,37.5198385,0,
944700693,Новопетровская улица,55.8262415,37.5161532,0,
952302299,Чертаново Южное,55.5965869,37.5879549,0,
952302376,Чертаново-Центральное,55.6134325,37.592022,0,
952302380,Кировоградские пруды,55.6062561,37.5903031,0,
1085487454,Метро «Партизанская»,55.7868809,37.7470228,0,
1085487508,Метро «Партизанская»,55.7869093,37.7474896,0,
1257401479,Улица Гиляровского,55.7797081,37.6309371,0,
1376488520,Центр здоровья детей,55.6863576,37.5478178,0,
1376488522,Ленинский проспект,55.6886766,37.5438414,0,
1376488537,Черёмушкинский рынок,55.6848546,37.5504371,0,
1376488759,Улица Ивана Бабушкина,55.6835674,37.560052,0,
1376500648,Больница имени Алексеева,55.6977119,37.6121834,0,
1376500849,3-я Рощинская улица,55.7078634,37.6106132,0,
1376583629,Больница имени Виноградова,55.6874128,37.5562565,0,
1376637394,Платформа Тульская,55.7047249,37.6235197,0,
1376689638,"Дубининская улица, 57",55.719925,37.6349267,0,
1376689640,Жуков проезд,55.7240299,37.6365347,0,
1376689644,Павелецкий вокзал,55.7295122,37.6366602,0,
1376698052,Воронцово Поле,55.752836,37.6473087,0,
1376698056,Метро «Павелецкая»,55.7318034,37.6352106,0,
1377188035,МФЦ Нагатино-Садовники,55.6803645,37.6330969,0,
1377188041,Нагатино,55.6851299,37.6897508,0,
1377188053,Стадион «Труд»,55.6955304,37.6212538,0,
1377188057,"Судостроительная улица, 12",55.6805172,37.6729378,0,
1377188058,"Судостроительная улица, 12",55.6806029,37.6730906,0,
1377604230,Динамовская улица,55.7304748,37.6595925,0,
1381710558,Фруктовая улица,55.6606793,37.6101119,0,
1381710560,Черноморский бульвар,55.6455234,37.6055469,0,
1475230075,Улица Ибрагимова,55.7826955,37.7310291,0,
1479448336,Кинотеатр «Спутник»,55.7627414,37.7083202,0,
1507754587,Лефортовский мост,55.7612358,37.6880219,0,
1677617737,"улица Бориса Галушкина, 17",55.8228406,37.6586016,0,
1984082114,Халтуринская улица,55.7990247,37.7288431,0,
1984082314,Плодоовощной комбинат,55.8176037,37.7432624,0,
1984654065,5-й проезд Подбельского,55.816937,37.7266525,0,
1984682069,1-я Прогонная улица,55.8101641,37.7034529,0,
1992955362,Улица Короленко,55.7992914,37.6859668,0,
1992978966,Леснорядская улица,55.7815948,37.6702733,0,
1992978967,Леснорядская улица,55.7817007,37.6705396,0,
1992978972,Метро «Сокольники»,55.7893074,37.6809737,0,
1992979018,Метро «Сокольники»,55.7892854,37.6810069,0,
2358271812,Поликлиника,55.777121,37.6735399,0,
2358271813,Метро «Красносельская»,55.7790764,37.6668325,0,
2424317941,Улица Панфилова,55.8088711,37.4942834,0,
2424317942,Улица Панфилова,55.8089822,37.4939005,0,
2631470111,Тихвинский переулок,55.7876989,37.6007055,0,
3007046205,Площадь Борьбы,55.7848825,37.6055012,0,
3016716232,Селезнёвская улица,55.7805585,37.6090907,0,
3016721033,Селезнёвская улица,55.7811663,37.6091909,0,
3446041502,Проспект Будённого,55.7567591,37.7423794,0,
3599958536,МЦД Митьково,55.7853273,37.6758022,0,
4886737498,Клуб Русакова – Театр Романа Виктюка,55.7914494,37.6865268,0,
5110954035,Панфиловский путепровод,55.8090555,37.4909718,0,
5891405076,"Улица Исаковского, 33",55.8043569,37.4198942,0,
7958582323,Павелецкий вокзал,55.7302209,37.6393053,0,
8299188699,Культурно-досуговый центр,55.8098751,37.4044745,0,
10707781450,Богородский храм,55.8148875,37.6939936,0,
12255909526,Горбатый путепровод,55.7500504,37.7088491,0,
60672869,Шарикоподшипниковская улица,55.7236276,37.6641088,0,
243894862,ВДНХ (северный вход),55.8272146,37.6460711,0,
250559401,Мякининский проезд,55.8080962,37.3958148,0,
255740854,Метро «Новогиреево»,55.7520578,37.8135257,0,
255740855,Мартеновская улица,55.7535471,37.8028828,0,
275634389,Метро «Партизанская»,55.786561,37.7508606,0,
303594453,Покровское-Стрешнево,55.8106736,37.4750782,0,
424982669,МЦК Угрешская,55.7158581,37.695364,0,
449584455,Красностуденческий проезд,55.8240914,37.5621298,0,
471970141,Дом культуры «Серп и молот»,55.7486565,37.6756547,0,
471970142,Трамвайно-ремонтный завод,55.7520492,37.6782247,0,
473120396,4-й Самотёчный переулок,55.7795009,37.6128558,0,
534957383,Поликлиника,55.8817849,37.6390216,0,
535844764,Улица Сергея Эйзенштейна,55.8289817,37.6488419,0,
535844808,Медведково,55.8875052,37.6429789,0,
639572174,Улица Цандера,55.821823,37.628137,0,
695657537,Улица Плеханова,55.7594667,37.7566912,0,
697485002,Ботанический переулок,55.7799462,37.6391258,0,
705055372,Новогиреево,55.7454178,37.8167798,0,
736365403,Южнопортовая улица,55.7118145,37.6830307,0,
736521262,ЦНИИТМАШ,55.7219023,37.6691258,0,
736521264,Угрешский переезд,55.7143123,37.6915898,0,
736521269,Южнопортовая улица,55.7119196,37.6832715,0,
927186934,3-й Михалковский переулок,55.835884,37.5256034,0,
936862413,Улица Металлургов,55.7583771,37.7881329,0,
943034221,Улица Академика Курчатова,55.8103898,37.4769147,0,
943034232,Метро «Сходненская»,55.8517675,37.4389775,0,
943034233,Новопоселковая улица,55.8371941,37.4413959,0,
943034258,Улица Фабрициуса,55.8427987,37.4389034,0,
943094261,Улица Всеволода Вишневского,55.8120354,37.5724088,0,
943256994,3-й Новоподмосковный переулок,55.8212191,37.5116224,0,
944176905,"Улица Живописная, 50",55.8011484,37.4503483,0,
944176908,Улица Маршала Тухачевского,55.7846637,37.4553494,0,
944176914,Детская поликлиника,55.8055914,37.4532373,0,
944656876,Улица Маршала Катукова,55.8052499,37.4135639,0,
946177826,Метро «Щукинская»,55.8099037,37.4622295,0,
946193053,Метро «Строгино»,55.80206,37.4081926,0,
963824254,"Улица Героев Панфиловцев, 33",55.8571124,37.413669,0,
963824256,НИИАТ,55.8544074,37.4089989,0,
996689315,"Симферопольский бульвар, 20",55.6494472,37.6055584,0,
996689318,Балаклавский проспект,55.6430034,37.6056747,0,
1046561946,Улица Цандера,55.8218406,37.6286054,0,
1240945520,5-я улица Соколиной Горы,55.7633396,37.7342825,0,
